epoch,accuracy,loss,val_accuracy,val_loss
0,0.5977239608764648,1.0727609395980835,NA,NA
1,0.6301106810569763,0.988012433052063,NA,NA
2,0.6501774787902832,0.9347419738769531,NA,NA
3,0.6756316423416138,0.8730862736701965,NA,NA
4,0.7033827304840088,0.8013534545898438,NA,NA
5,0.7348089218139648,0.7202001810073853,NA,NA
6,0.7666318416595459,0.6361463069915771,NA,NA
7,0.7979536652565002,0.5561734437942505,NA,NA
8,0.8285654783248901,0.47939664125442505,NA,NA
9,0.8531217575073242,0.4103640019893646,NA,NA
10,0.8782000541687012,0.3494583070278168,NA,NA
11,0.8966172337532043,0.2959507703781128,NA,NA
12,0.9125078320503235,0.25060003995895386,NA,NA
13,0.9243265986442566,0.21211300790309906,NA,NA
14,0.9344121813774109,0.18663157522678375,NA,NA
