epoch,accuracy,loss,val_accuracy,val_loss
0,0.38223081827163696,1.322784185409546,0.4322766661643982,1.278639554977417
1,0.6623304486274719,0.956088125705719,0.6772334575653076,0.9045756459236145
2,0.8026570677757263,0.5632985830307007,0.6887608170509338,0.786379337310791
3,0.846388041973114,0.40933024883270264,0.7031700015068054,0.7730514407157898
4,0.8884583711624146,0.3239929676055908,0.7089337110519409,0.8017840385437012
5,0.9053418040275574,0.2680610418319702,0.6858789920806885,0.8881732821464539
6,0.9255466461181641,0.22400693595409393,0.7002881765365601,0.8838959336280823
7,0.9396623373031616,0.1878167688846588,0.6858789920806885,1.0030769109725952
8,0.949903130531311,0.1570592224597931,0.6743515729904175,0.9967952370643616
9,0.9590368270874023,0.1391589641571045,0.6858789920806885,1.0674996376037598
10,0.9634652733802795,0.1250188648700714,0.680115282535553,1.1356953382492065
11,0.9678937196731567,0.10860946774482727,0.6743515729904175,1.1916207075119019
12,0.9701079726219177,0.10098952800035477,0.6685879230499268,1.2773467302322388
13,0.9703847169876099,0.09344647079706192,0.7118155360221863,1.245866298675537
14,0.9698311686515808,0.09373445063829422,0.6541786789894104,1.3284204006195068
15,0.973429262638092,0.08702614903450012,0.680115282535553,1.3300076723098755
16,0.9767506122589111,0.07734189182519913,0.6685879230499268,1.4078222513198853
17,0.975643515586853,0.07939612120389938,0.6685879230499268,1.4226977825164795
18,0.976473867893219,0.07412898540496826,0.6772334575653076,1.436034917831421
19,0.9781345129013062,0.06803835928440094,0.6772334575653076,1.4449905157089233
20,0.976473867893219,0.06886245310306549,0.6916426420211792,1.4595249891281128
21,0.9789648652076721,0.06363201141357422,0.6657060384750366,1.554007649421692
22,0.976473867893219,0.06583743542432785,0.6743515729904175,1.5279382467269897
23,0.9761970639228821,0.06346713751554489,0.6657060384750366,1.6076232194900513
24,0.9767506122589111,0.06429100781679153,0.6829971075057983,1.577336311340332
